ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
-0.0629883,-0.104004,0.940918,-11.9629,3.78418,-35.0952,-112,308,-661,1.86218,1.96106,-24.5599,0.913574,0.137695,-0.25,7.62939,-13.1226,40.5273,-90,-167,339,128.793,-69.3127,117.729,0.946777,-0.128418,-0.118164,5.92041,15.7471,35.0952,-311,18,257,-138.702,-81.3043,47.5269,
-0.0561523,-0.149902,0.911133,-12.5732,2.68555,-32.2266,-111,307,-660,1.71936,2.03247,-25.0049,0.881348,0.0786133,-0.220215,9.82666,-12.6953,36.499,-94,-155,343,130.485,-69.6918,116.049,0.839844,-0.156738,-0.0322266,5.67627,12.8174,38.5742,-312,21,256,-134.797,-81.0516,43.5828,
-0.0966797,-0.185547,0.921875,-9.39941,3.479,-30.2124,-110,307,-661,1.604,2.0929,-25.3894,0.856445,0.0429688,-0.250488,4.3335,-12.6343,33.8745,-91,-163,341,132.155,-70.0269,114.368,0.943848,-0.0966797,-0.105957,1.09863,11.7798,25.1465,-315,23,256,-131.929,-80.8759,40.7098,
-0.0644531,-0.291016,0.933105,-8.91113,4.3335,-23.8037,-109,307,-661,1.46118,2.18628,-25.7574,0.921875,0.0415039,-0.276367,-0.0610352,-12.146,27.5269,-91,-164,341,133.66,-70.296,112.775,0.920898,-0.176758,-0.0908203,-1.83105,9.46045,21.7896,-314,27,256,-130.468,-80.766,39.1992,
-0.0361328,-0.350098,0.945312,-2.50244,2.56348,-15.8691,-108,306,-660,1.3678,2.2467,-26.0376,0.942871,-0.0273438,-0.304199,-7.62939,-10.0098,17.1509,-93,-163,342,134.835,-70.4773,111.418,0.912598,-0.197266,-0.0805664,-4.02832,5.12695,13.6108,-315,28,257,-128.65,-80.5957,37.2546,
-0.0219727,-0.378906,0.924316,-1.52588,2.38037,-6.53076,-108,305,-661,1.32385,2.27966,-26.1694,0.937012,-0.127441,-0.31543,-11.1694,-7.75146,7.26318,-92,-162,342,135.428,-70.5597,110.66,0.88623,-0.225586,-0.034668,-3.96729,0.488281,6.34766,-320,36,260,-127.568,-80.4694,36.0132,
-0.0117188,-0.379883,0.916016,-2.56348,0.549316,5.00488,-108,305,-660,1.23596,2.31262,-26.2518,0.9375,-0.196777,-0.325195,-6.65283,-5.06592,-2.80762,-91,-161,343,136.093,-70.6476,109.753,0.865234,-0.243164,-0.0107422,-3.17383,-2.99072,0.976562,-316,30,256,-127.073,-80.3925,35.365,
-0.0302734,-0.373047,0.907227,-1.28174,1.0376,12.4512,-108,305,-660,1.13159,2.33459,-26.1859,0.927734,-0.200684,-0.324707,-0.0610352,-2.74658,-8.72803,-92,-160,342,136.527,-70.6805,109.204,0.864746,-0.239258,-0.00439453,-1.83105,-8.30078,-7.20215,-315,29,257,-127.277,-80.3705,35.4474,
-0.0195312,-0.36377,0.914551,-0.12207,0.610352,21.9727,-107,306,-661,1.03821,2.35107,-25.9937,0.919922,-0.157715,-0.317383,8.66699,0.976562,-16.9067,-92,-158,340,136.714,-70.6531,109.072,0.885254,-0.219238,-0.0361328,-1.70898,-12.9395,-15.9302,-315,31,256,-128.397,-80.3979,36.4801,
0.00634766,-0.305176,0.941895,3.17383,-0.549316,29.7241,-107,305,-662,0.97229,2.35657,-25.697,0.936523,-0.0766602,-0.320312,14.5264,3.90625,-24.292,-91,-157,341,136.588,-70.5542,109.374,0.908203,-0.182129,-0.0717773,-1.83105,-16.6626,-22.583,-315,30,256,-129.628,-80.4474,37.6666,
